Nepal Investment Bank Ltd. Promoter Share,11,403.00,400.00,401.00,4618.00,1854500.00,402.00,-1.00

Nepal Life Insurance Co. Ltd.,131,901.00,885.00,885.00,17706.00,15845077.00,890.00,-5.00

Nepal SBI Bank Limited,16,360.00,355.00,356.00,2818.00,1006624.00,357.00,-1.00

Nepal Seva Laghubitta Bittiya Sanstha Ltd.,5,464.00,455.00,455.00,70.00,32170.00,471.00,-16.00

Nerude Laghubita Bikas Bank Limited,29,581.00,560.00,560.00,3474.00,1966815.00,570.00,-10.00

Ngadi Group Power Ltd.,15,113.00,111.00,112.00,4790.00,535176.00,112.00,0.00

NIBL Pragati Fund,4,7.14,6.86,7.14,3031.00,21297.92,7.00,0.14

NIC Asia Balanced Fund,1,9.02,9.02,9.02,100.00,902.00,9.20,-0.18

NIC Asia Bank Ltd.,100,419.00,414.00,414.00,34008.00,14136807.00,415.00,-1.00

NIC Asia Growth Fund,7,8.68,8.51,8.56,6600.00,56618.00,8.62,-0.06

Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,2,785.00,785.00,785.00,130.00,102050.00,785.00,0.00

NLG Insurance Company Ltd.,27,613.00,601.00,604.00,3842.00,2333748.00,608.00,-4.00

NMB  Microfinance Bittiya Sanstha Ltd.,7,569.00,560.00,569.00,661.00,372414.00,565.00,4.00

NMB Bank Limited,222,330.00,325.00,325.00,56332.00,18440353.00,327.00,-2.00

NMB Bank Limited Promoter Share,2,205.00,205.00,205.00,16930.00,3470650.00,205.00,0.00

Oriental Hotels Limited,43,468.00,441.00,441.00,7588.00,3450850.00,455.00,-14.00

Panchakanya Mai Hydropower Ltd,14,88.00,86.00,87.00,140.00,12080.00,87.00,0.00

Panchthar Power Compant Limited,36,116.00,104.00,116.00,1985.00,223660.00,106.00,10.00

Pokhara Finance Ltd.,4,131.00,131.00,131.00,48.00,6288.00,133.00,-2.00

Prabhu  Bank Limited,86,226.00,224.00,225.00,22462.00,5059026.00,224.00,1.00

Prabhu Insurance Ltd.,22,341.00,333.00,338.00,3340.00,1127767.00,336.00,2.00

Premier Insurance Co. Ltd.,76,425.00,406.00,413.00,9616.00,3979160.00,406.00,7.00

Prime Commercial Bank Ltd.,89,282.00,280.00,280.00,27215.00,7626399.00,280.00,0.00

Prime Life Insurance Company Limited,68,366.00,348.00,359.00,14048.00,5072157.00,362.00,-3.00

ProgressiveFinance Limited,5,105.00,102.00,103.00,540.00,56599.00,100.00,3.00

Prudential Insurance Co. Ltd.,17,431.00,417.00,417.00,2218.00,931739.00,424.00,-7.00

Radhi Bidyut Company Ltd,24,142.00,140.00,141.00,1057.00,149433.00,141.00,0.00

Rairang Hydropower Development Company Ltd.,15,101.00,97.00,98.00,150.00,14770.00,100.00,-2.00

